                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8009,                  11.31,                      0,                 1.1368,                 1.3067,                0.98341,                      1,                  0.995,                0.84998,                      0,                      0,                      0,                      0,                0.64305,                  11.33,                      0,                0.63239,                 1.1684,                0.00012,                0.00012,                0.00012
                      2,                0.39855,                 11.049,                      0,                0.40554,                0.94601,                0.99587,                      1,                  0.995,                0.84591,                      0,                      0,                      0,                      0,                0.66125,                 11.264,                      0,                0.83343,                 1.3207,             0.00023426,             0.00023426,             0.00023426
                      3,                0.37827,                 10.366,                      0,                0.30563,                0.91243,                0.98352,                      1,                  0.995,                0.76232,                      0,                      0,                      0,                      0,                0.67501,                 11.204,                      0,                 0.6701,                 1.3273,              0.0003208,              0.0003208,              0.0003208
                      4,                0.35887,                 10.106,                      0,                0.30082,                 0.8956,                 0.9919,                      1,                  0.995,                0.70874,                      0,                      0,                      0,                      0,                0.85196,                 11.234,                      0,                0.72568,                 1.4945,             0.00037962,             0.00037962,             0.00037962
                      5,                0.38033,                 9.8318,                      0,                 0.2882,                0.86786,                      1,                0.97609,                  0.995,                0.74919,                      0,                      0,                      0,                      0,                0.86457,                 11.047,                      0,                0.77736,                 1.7039,             0.00041072,             0.00041072,             0.00041072
                      6,                0.38586,                 9.7743,                      0,                 0.3107,                0.87445,                 0.9703,                    0.9,                0.97192,                0.65464,                      0,                      0,                      0,                      0,                0.87409,                 11.023,                      0,                0.87754,                 1.5117,              0.0004141,              0.0004141,              0.0004141
                      7,                0.33003,                 9.2773,                      0,                0.26953,                0.85399,                0.98504,                    0.9,                0.95382,                0.64721,                      0,                      0,                      0,                      0,                0.90965,                 10.866,                      0,                0.92655,                 1.7109,             0.00038976,             0.00038976,             0.00038976
                      8,                0.33373,                 9.0859,                      0,                 0.2864,                0.83306,                      1,                0.88845,                0.96643,                0.67966,                      0,                      0,                      0,                      0,                0.83167,                 10.848,                      0,                0.81523,                  1.669,              0.0003377,              0.0003377,              0.0003377
                      9,                0.29133,                 8.9187,                      0,                0.25247,                0.84167,                      1,                0.89301,                0.97192,                0.71372,                      0,                      0,                      0,                      0,                0.80677,                 10.845,                      0,                0.70206,                 1.6133,             0.00025792,             0.00025792,             0.00025792
                     10,                0.28306,                 8.8357,                      0,                 0.2382,                0.84479,                0.89993,                0.89933,                0.95643,                0.71392,                      0,                      0,                      0,                      0,                0.80032,                  10.77,                      0,                0.68452,                   1.62,             0.00015042,             0.00015042,             0.00015042
